[0m[ INFO] [1783240828.630340314]: Mower SN: HL-G-0001[0m
[2026-07-05 17:19:52] 当前点: 9.13642 -5.19746 -2.44749
[2026-07-05 17:19:52] 当前点: 9.13722 -5.19813 -2.44748
[2026-07-05 17:19:52] 当前点: 9.13738 -5.19826 -2.44748
[2026-07-05 17:19:52] 当前点: 9.13813 -5.19931 -2.44748
[2026-07-05 17:19:52] 当前点: 9.13827 -5.19949 -2.44748
[2026-07-05 17:19:53] 当前点: 9.13877 -5.20077 -2.44749
[2026-07-05 17:19:53] 当前点: 9.1389 -5.20099 -2.44748
[2026-07-05 17:19:53] 当前点: 9.13906 -5.20179 -2.44748
[2026-07-05 17:19:53] 当前点: 9.13919 -5.20198 -2.44748
[2026-07-05 17:19:53] 当前点: 9.13975 -5.20271 -2.44748
[2026-07-05 17:19:53] 当前点: 9.1399 -5.20288 -2.44748
[2026-07-05 17:19:53] 当前点: 9.14102 -5.2034 -2.44746
[2026-07-05 17:19:53] 当前点: 9.14125 -5.20361 -2.44746
[2026-07-05 17:19:53] 当前点: 9.14123 -5.20363 -2.44746
[2026-07-05 17:19:53] 当前点: 9.14142 -5.20381 -2.44746
[2026-07-05 17:19:54] 当前点: 9.14186 -5.20425 -2.44746
[2026-07-05 17:19:54] 当前点: 9.14202 -5.20439 -2.44745
[2026-07-05 17:19:54] 当前点: 9.14232 -5.20447 -2.44745
[2026-07-05 17:19:54] 当前点: 9.14246 -5.20454 -2.44745
[2026-07-05 17:19:54] 当前点: 9.14302 -5.20522 -2.44745
[2026-07-05 17:19:54] 当前点: 9.14313 -5.20528 -2.44745
[2026-07-05 17:19:54] 当前点: 9.14439 -5.20584 -2.44746
[2026-07-05 17:19:54] 当前点: 9.1446 -5.20592 -2.44745
[2026-07-05 17:19:54] 当前点: 9.14549 -5.20625 -2.44745
[2026-07-05 17:19:54] 当前点: 9.1457 -5.2063 -2.44745
[2026-07-05 17:19:55] 当前点: 9.14577 -5.20554 -2.44744
[2026-07-05 17:19:55] 当前点: 9.14593 -5.20549 -2.44743
[2026-07-05 17:19:55] 当前点: 9.14598 -5.20498 -2.44743
[2026-07-05 17:19:55] 当前点: 9.1461 -5.20484 -2.44742
[2026-07-05 17:19:55] 当前点: 9.14652 -5.20501 -2.44742
[2026-07-05 17:19:55] 当前点: 9.14661 -5.20488 -2.44742
[2026-07-05 17:19:55] 当前点: 9.14727 -5.2047 -2.44743
[2026-07-05 17:19:55] 当前点: 9.14742 -5.20457 -2.44743
[2026-07-05 17:19:55] 当前点: 9.14765 -5.20422 -2.44743
[2026-07-05 17:19:55] 当前点: 9.14777 -5.20411 -2.44743
[2026-07-05 17:19:56] 当前点: 9.14933 -5.20543 -2.44744
[2026-07-05 17:19:56] 当前点: 9.14951 -5.20536 -2.44743
[2026-07-05 17:19:56] 当前点: 9.15063 -5.20596 -2.44744
[2026-07-05 17:19:56] 当前点: 9.15082 -5.2059 -2.44743
[2026-07-05 17:19:56] 当前点: 9.15183 -5.20732 -2.44744
[2026-07-05 17:19:56] 当前点: 9.15199 -5.20729 -2.44744
[2026-07-05 17:19:56] 当前点: 9.15298 -5.20769 -2.44745
[2026-07-05 17:19:56] 当前点: 9.1532 -5.20773 -2.44745
[2026-07-05 17:19:56] 当前点: 9.15397 -5.20822 -2.44746
[2026-07-05 17:19:56] 当前点: 9.15418 -5.20825 -2.44746
[2026-07-05 17:19:57] 当前点: 9.15287 -5.2072 -2.44745
[2026-07-05 17:19:57] 当前点: 9.153 -5.20717 -2.44745
[2026-07-05 17:19:57] 当前点: 9.15172 -5.20625 -2.44744
[2026-07-05 17:19:57] 当前点: 9.15176 -5.20615 -2.44744
[2026-07-05 17:19:57] 当前点: 9.15121 -5.20576 -2.44744
[2026-07-05 17:19:57] 当前点: 9.15119 -5.20561 -2.44744
[2026-07-05 17:19:57] 当前点: 9.1514 -5.20578 -2.44744
[2026-07-05 17:19:57] 当前点: 9.15146 -5.20568 -2.44744
[2026-07-05 17:19:57] 当前点: 9.15099 -5.20549 -2.44744
[2026-07-05 17:19:57] 当前点: 9.15102 -5.20543 -2.44744
[2026-07-05 17:19:58] 当前点: 9.14983 -5.20481 -2.44744
[2026-07-05 17:19:58] 当前点: 9.14976 -5.20471 -2.44744
[2026-07-05 17:19:58] 当前点: 9.14883 -5.20401 -2.44744
[2026-07-05 17:19:58] 当前点: 9.14878 -5.20387 -2.44744
