[0m[ INFO] [1782787141.484767719]: task start[0m
[0m[ INFO] [1782787141.589553487]: ~check~ time : 0.00 ===> 0 [0m
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
[0m[ INFO] [1782787141.622943866]: ~check~ time : 0.03 ===> 1 [0m
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
[0m[ INFO] [1782787141.656320740]: ~check~ time : 0.07 ===> 1 [0m
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
[0m[ INFO] [1782787143.589584386]: ~check~ time : 2.00 ===> 1 [0m
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
[0m[ INFO] [1782787143.622932805]: ~check~ time : 2.03 ===> 1 [0m
~~~stop~~~ flag front 0 ,rear 0 ,appsignal_flag 0 ,outboundary_flag 0
